customer_id,zipcode,age,marital_status,household_size,income,gender,earners
0bedc881-d82f-4c6e-b980-f546680a376a,20019.0,62,single,2,56220.56764146937,female,2
d0a1b087-8ae4-4ccf-8294-fcb092f387ce,20010.0,24,single,3,76288.56961922333,female,2
4076edb6-5179-4a3a-8bc0-6f494f567e12,20009.0,61,married,3,144932.57555909132,male,2
c6fd79c8-1adc-4bb2-b7cb-1d630f8c4201,20006.0,31,married,2,63705.13607358621,male,2
597f8dd3-3c17-4b59-abbb-f68a8f3d4c3f,20032.0,46,married,3,32102.1296508204,male,2
170f3702-2e2b-4b64-8c3a-a2009fcf0422,20002.0,21,married,2,53664.18223770599,female,2
b42b1b8a-4258-432b-b439-f443596a6640,20017.0,51,married,4,174053.4003794181,female,1
9534c9e5-d865-4e45-bf05-3ba65f902834,20007.0,25,married,2,136423.64306181157,female,4
95db5370-920a-498a-9c98-e41f5cde227c,20024.0,33,married,2,122286.02707624,female,0
802835ef-ec61-4e5f-915e-950af3702416,20003.0,59,married,3,190428.9466756557,female,2
878d1ca4-5bce-4011-8493-b218cfff73dc,20032.0,49,married,4,67567.65413289999,female,2
1a741c0e-4cc2-4ec2-a27e-3d4c1e7db5c9,20010.0,32,single,4,121590.59959900352,female,1
c75be219-d89f-4ae3-9b8c-e10e05c546b0,20001.0,35,married,3,161979.2037298792,female,2
ef8eee56-6d51-4c0a-bd0d-7a9932f36f82,20019.0,28,single,2,65674.86701460677,male,1
87548d3c-02c9-4e74-a9ed-1a79dad1e517,20032.0,76,married,4,68639.79225072943,female,2
3180e712-23a2-4866-ba4b-51f0aec14426,20019.0,31,single,2,48740.1297892918,male,1
2d88b529-9a62-4f75-9014-b7c6d166118d,20018.0,68,married,3,42786.95688804102,female,1
386ef7d2-eeef-4737-9c68-29467a9ea5f0,20012.0,83,married,2,117620.19215767473,male,5
2c6ae981-6e3b-42b2-a616-0342b5a1013f,20011.0,80,single,2,127217.07192704912,female,1
eda17a69-7693-4777-b575-0816da88e9b3,20019.0,60,married,5,56218.60233639538,female,3
24f3ed10-2a0c-4066-af47-e56b2e8f6172,20003.0,29,married,2,166759.04531659582,female,2
76e6c10d-4524-451e-8aca-cf6b1607b6a1,20019.0,56,single,3,72996.91290587545,female,1
413835aa-ecb6-4d1d-a85e-e80b62d3595e,20012.0,82,married,4,104074.01447665106,female,2
f5a1a7f8-36fd-4078-8be0-dcc80b58de2e,20009.0,25,married,2,121162.94538152416,male,2
