customer_id,zipcode,age,marital_status,household_size,income,gender,earners
2a355610-9e0e-4bda-b6ef-35232eea87ad,20001.0,20,Single,2,120000.0,female,2
3162d209-4eb8-4c2d-8b3e-53849fcd6508,20001.0,30,Married,3,150000.0,female,2
2144d313-4e50-4c59-9540-1a8be5960a83,20001.0,45,Married,4,160000.0,male,1
b916a721-e651-4599-a883-73a8f9b60f48,20001.0,60,Single,2,90000.0,female,1
65a41e25-2e50-4972-be0a-1606d3801ecb,20001.0,70,Married,2,80000.0,male,0
9e4e2d1a-43a2-4ff1-8592-789534b9bc8d,20002.0,20,Single,2,80000.0,female,1
2478df2a-0ad9-4049-a8dc-930ce614294c,20002.0,30,Married,3,120000.0,male,2
fcd9db0e-11b7-463b-b99a-40621f47fbc1,20002.0,50,Married,4,150000.0,female,2
5b965ae1-10d2-451e-bde8-200f0fc24c45,20002.0,70,Single,2,60000.0,female,0
496ba49d-17f4-4fb8-b1a5-1692ff6dcad4,20002.0,25,Single,3,90000.0,male,1
d5120a09-1ab9-44ab-875e-74459a077843,20002.0,35,Married,5,130000.0,female,2
b0d55966-af15-427e-9ad8-6cc81864b7fb,20002.0,45,Married,6,160000.0,male,3
4d11fe28-a7a8-4904-922c-7d0ecc5bd2c5,20002.0,55,Single,2,70000.0,female,1
d6d142d4-9ba2-408e-9172-9cc600713ba6,20002.0,65,Married,3,110000.0,male,2
2f5a8705-d4d2-4299-90b6-931869ed3e23,20002.0,75,Single,4,50000.0,female,0
9f37650d-fd4f-4949-9939-92bb43c0763b,20003.0,20,Single,2,120000.0,female,2
080592c0-098d-4bd7-8d75-72c3bc0206c8,20003.0,30,Married,3,150000.0,male,1
6829f462-783c-41b3-8734-ed8fbc39e3ed,20003.0,50,Married,4,180000.0,female,2
2648f33f-43b0-494e-a51a-c1f076105b12,20003.0,70,Single,2,90000.0,female,0
f42a128a-be5d-46eb-88e7-7a55713af007,20004.0,20,Single,2,25000.0,female,1
d9b75998-36ec-411d-b823-98c11759ed70,20004.0,30,Married,2,75000.0,female,2
c84f5f32-b683-4dd3-9812-d909e1b74a35,20004.0,50,Married,3,100000.0,female,2
3f830cda-afcb-4cc2-938e-d0d8b6e03e04,20004.0,70,Married,2,60000.0,female,1
10bab98e-3ad2-407f-9cfd-51a058b03b0b,20005.0,20,Single,2,85000.0,female,2
95a3f0e9-87e8-49e6-bb0a-8f13ff53ebbc,20005.0,30,Married,3,120000.0,male,1
d30bfd4e-5151-4273-af61-7488248abbf6,20005.0,50,Married,4,150000.0,female,2
4ebe5c3a-5b33-4414-b6a0-7f089e562c9a,20005.0,70,Single,2,60000.0,male,0
8dc8f27d-6e54-4e3a-9861-e2e197df4013,20005.0,25,Single,2,95000.0,female,1
3e7f5ecc-19bf-4256-ad92-0f90d354e2a8,20005.0,35,Married,5,130000.0,male,2
6cadde53-6c0b-43fe-b92f-772b0fc18312,20005.0,45,Married,3,110000.0,female,2
a3e2d387-89f8-43fe-b2a9-f2ee09683a1c,20005.0,60,Single,2,80000.0,male,1
bb7c11cf-1a57-402a-befb-94d6b840ee49,20005.0,22,Single,2,70000.0,female,1
3008b0f1-5d13-414c-936d-f175168bb404,20005.0,33,Married,4,140000.0,male,2
831532d1-530d-400c-8d08-ff42275d39a6,20006.0,20,Single,2,30000.0,male,1
f9d4c7c4-fd9e-41a6-bc50-331ff9b26d91,20006.0,30,Married,2,45000.0,male,1
ee3d269b-e48a-400b-8348-ba953c18ee21,20006.0,35,Married,3,60000.0,male,2
87c4bf79-1b5c-4571-9232-42ddcd051104,20006.0,40,Married,2,55000.0,male,1
ff2e8978-d10f-482f-9eeb-ad9a089976b0,20006.0,25,Single,2,35000.0,male,1
5993f10c-f02d-415c-8cec-d18b5543acaf,20006.0,50,Married,4,70000.0,male,2
dadd2820-2589-443f-ac67-523ce55cd532,20006.0,22,Single,2,25000.0,male,0
da0cd159-ce89-4f1c-8a0b-c704a983d8da,20006.0,28,Single,2,40000.0,male,1
bd6cd652-5774-4518-a544-cf9e5f11b3a9,20006.0,45,Married,2,65000.0,male,1
bf5245c0-3b99-4254-8e91-981ac188bcaa,20006.0,32,Married,3,50000.0,male,2
398e4478-1006-4500-8aa6-47ef7a919847,20007.0,20,Single,2,120000.0,female,1
99816a39-ddce-415a-9bf7-9cbea057f337,20007.0,30,Married,3,150000.0,male,2
dd495033-517f-41bc-b509-fb3fcc5cd4a4,20007.0,50,Married,4,180000.0,female,2
90a6c985-3702-42fa-a23f-1a7e0c96a481,20007.0,70,Single,2,90000.0,female,0
94a25e8b-8f1f-4b07-86e3-d67b56c84018,20008.0,20,Single,2,120000.0,female,2
6a4bc7c2-4ce7-45c9-afda-0c4962fbc41b,20008.0,30,Married,3,150000.0,male,1
14ec7127-84aa-42c1-975d-745b59160a29,20008.0,50,Married,4,100000.0,female,2
21eb7fc6-9722-45fd-b6de-7a9f9a055d4d,20008.0,70,Single,2,80000.0,male,1
531bb2e8-5db1-4671-a7df-62eea789bf89,20008.0,25,Single,5,90000.0,female,3
72599b08-034d-4c2c-99cb-1f94a6e4ae1b,20008.0,45,Married,6,110000.0,male,2
5cbc2e9f-9af7-4051-88c6-bf0b5a14d461,20008.0,60,Married,7,130000.0,female,1
2b787d60-13a2-40cd-9bd9-53bfe5d8acfb,20008.0,35,Single,2,140000.0,male,2
c208976a-cbe4-4af6-99b8-006f18ec2bef,20008.0,55,Married,3,160000.0,female,3
fd7c1aa0-c15a-4678-b334-5aaea8eee374,20008.0,65,Single,4,70000.0,male,1
11d49814-81c4-4451-b687-bf4eac08d5e6,20009.0,20,Single,2,120000.0,female,2
e12ec456-0a92-420e-aa6d-2d5746f91cb2,20009.0,30,Married,3,150000.0,male,1
14c53515-3987-4cb1-b8fd-6c79ce36bd7d,20009.0,50,Married,4,180000.0,female,2
eadb72bd-940f-4c12-b6a2-4c5a3e591a6c,20009.0,70,Single,2,90000.0,male,0
9143663f-d190-463d-8561-8dd30f6d516f,20010.0,20,Single,2,30000.0,female,1
68ca9545-6168-4c12-9294-9f89b801348c,20010.0,30,Married,3,75000.0,male,2
433e04ad-71a8-4f10-936d-be80fc7e1547,20010.0,50,Married,4,100000.0,female,2
e30830cd-9e30-40a0-b998-a5bf7ddf98be,20010.0,70,Single,2,40000.0,female,0
728f782c-38a1-4b44-824b-2fadd1827400,20010.0,25,Single,3,50000.0,male,1
69ac5287-39d6-4bf6-8a9f-c8c179d760a9,20010.0,35,Married,5,85000.0,female,2
269cd0a0-b374-4dfb-9aca-991101bd06f4,20010.0,45,Married,2,60000.0,male,1
fa49d71b-121e-44bf-b6c4-c7196f76cd39,20010.0,55,Single,4,90000.0,female,2
1462d396-1423-4df7-a230-fd3924a0b493,20010.0,65,Married,3,55000.0,male,1
1548b88c-c957-4012-9e27-50fc0be2513e,20010.0,22,Single,2,35000.0,female,1
d79b6f45-3c88-4d9f-bee2-c68ad74ef483,20011.0,20,Single,2,80000.0,female,1
8da3868f-d09f-4259-a466-82a9d9d5e474,20011.0,30,Married,3,120000.0,male,2
0790bd62-e84d-4611-8718-cc202d884abd,20011.0,50,Married,4,150000.0,female,2
25dc0e80-94df-475f-8e0b-a1991eb2f1e9,20011.0,70,Single,2,60000.0,female,0
69059860-813f-486b-a7b3-b5ad5c454d84,20012.0,20,Single,2,30000.0,female,1
dbc3d583-d8f4-4606-afa8-a54b2ca2ea95,20012.0,30,Married,3,75000.0,male,2
dcaff293-2996-4d12-bc98-99ff7b629e7f,20012.0,50,Married,4,100000.0,female,2
1f549d2a-5526-436e-8aaa-d3d662fa76c5,20012.0,70,Single,2,45000.0,female,0
270e631e-9778-46f5-8469-a6db047784f1,20015.0,20,Single,2,30000.0,female,1
